,ID,text,anger,disgust,fear,joy,sadness
1829,2018-Ar-00090,وإنكتبلي أكون #معاكي وأبقي بيكي وأبقي #ليكي وأبقي ضحكه تفوت ف #حزنك تمحي كل دموع #عنيكي 🌹,0,0,0,1,0
1825,2018-Ar-00968,مرعوبه من امتحان بكره ده ، ديه أتقل ماده في الدرجات ادعولي والنبي 💔,0,0,1,0,0
592,2018-Ar-02656,#دهس_مصلين_في_لندن\nاي حادثه من الحوادث الي بتحصل في الغرب بيقولوا عليها حادثه بسب الارهابيين\nالا المسلمين لما تحصلهم حادثه محدش بيقول حاجه 😠,1,1,0,0,1
1060,2018-Ar-01806,الإزعاج الحاصل من خلال مكبرات الصوت حيث تتداخل الأصوات لقرب المساجد بعضها لبعض وكذلك ازعاج جيران المسجد دون مراعاة المرضى والأطفال,1,0,0,0,0
3527,2018-Ar-00890,#ندم ليش مادخلت ادبي,1,0,0,0,1
335,2018-Ar-02626,من ثنايا قلب يلهث ..........بالدعاء \nجيت اهني صاحبي بشهررمضان \nوالزعل اللي بقلبي له ........قضى \nانطوت صفحة زعل ذاك ...الزمان,0,0,0,1,0
367,2018-Ar-03828,#مطروح سحر الجمال  ايه أكثر مكان تحبه فى مطروح,0,0,0,1,0
3229,2018-Ar-01803,ياقلبي منشن لك بهذا تاق اتمنا الكل يطالب فيه سرور انتم نجاح سرور بعد الله لازم استغلال الفرصه #احتفالات_عيد_الرياض,0,0,0,1,0
2166,2018-Ar-04128,"@cherryredwine__ ايه المشكله يبقى ١٥ حلقه وينزلوا حلقتين ف الاسبوع , التشويق هيزيد ومش هيحتاجوا مط",1,0,0,0,0
3534,2018-Ar-03050,@raidmohamad ههههه لا احنا نصعد ورئيس اتحادك عبد الخالق ومالح وزغير اسماء فاشله انزلت الكره للحضيض. مجموعه كلاب فلوس ولصوص,1,1,0,0,1
2515,2018-Ar-03643,البلد كلها ولعت والناس كأنهم بيوم الحشر وفوضى وحالة ذعر عام والجحش صاحب التغريدة ماهو حزين الا على خسارة راعي الشاحنة,1,0,0,0,1
2778,2018-Ar-04278,كُل بسمة من\nورا وجهك صباح ..,0,0,0,1,0
2084,2018-Ar-00057,فيني وجع مدري غصه بالضلوع والحزن جاني رغم اني ما ابيه احتاج ب هاللحظه افضفض بالدموع من يسلفني حظن ابكي عليه,0,0,0,0,1
3784,2018-Ar-00277,حزينه مابي يجي بكره:(,0,0,0,0,1
1271,2018-Ar-01461,خلاص يشباب خل ناخذ بريك دموعي اربع اربع عالحياه التعيسه هذي,0,0,0,0,1
1167,2018-Ar-01999,لاشيء أجمل من غسل وجه الحزن بإبتسامه وإطفاء الضيق بالاستغفار ابتسم ليس بالضرورة فرحا وإنما ثقة وتفاؤل بأن الله لن يخيب ظنك 💙 🌸,0,0,0,1,0
2621,2018-Ar-01260,#دموع_الشريان قصتها حزينه والحمد لله جمعها الله مع اهلها لكن انا مابكني الا داود والله,0,0,0,0,1
1020,2018-Ar-03875,للاسف ماكنت قضيه مغريه ل انتقم منك انت حدث تافه مايغوي خبثي حتى 😌 👋 🏻,1,1,0,1,0
231,2018-Ar-03458,كل عام وانتم بخير والله يسعدكم سعاده م بعدها شقى وجعل عيونكم م تدمع الا دموع فرح ي رب للجميع بدون استثناء❤️❤️,0,0,0,1,0
314,2018-Ar-03375,أحلى شعور تسوين فيه اسلوب نرفزة طلعي اللي بداخلك بنفرزة ويختفي الشعور الماكس اللي بداخلك,1,0,0,0,0
2346,2018-Ar-01966,هى لا كئيبه ولا حزينه ولا نكديه هى بس جواها جرح عمال ينزف ووجع كبير لا عارفه تداوى جرحها ولا تشكى همها لحد لكى الله يا انتى,0,0,0,0,1
340,2018-Ar-04032,أكثر فتره بكيت فيها واكثر فتره قلت إني بخير وانا بالحقيقه مو بخير ابدا.,0,0,0,0,1
3293,2018-Ar-00670,احمي عائلتي ياالله من حزن يسكن اعينهم ومن خبر يقطع طريق سعادتهم ومن مرض ينزع صحتهم ومن هموم الحياة واوجاعها 🌟 💛,0,0,0,1,0
3225,2018-Ar-02775,اكره الزحمه والأماكن الضيقه والي مافيها تهويه أحس بالكتمه والنرفزه المو طبيعيه وأحس المكان قذر جدا .,1,1,0,0,0
1398,2018-Ar-00441,@ihateyouallk @pivr9 @AN_Mndi_Kitchen شكلكم ملحدات عشان كذا ما عجبتكم التغريدة 😡😷,1,1,0,0,1
1554,2018-Ar-01822,@kit777kat \nلا نص يعني نص 😠,1,0,0,0,0
383,2018-Ar-03781,صباح الخير و الفرح ب #يوم_المرأة_العالمي انشالله أيامك كلها أعياد مايا,0,0,0,1,0
2303,2018-Ar-03077,#التستر_على_العماله_اليمنيه\nواذا قلت اضروا المواطن والبلد اتاك من يقول خلهم يترزقون الله ليه الحسد\nوحقيقة الامر انهم متنفعون من التستر عليهم,1,1,0,0,0
747,2018-Ar-03657,@OHelou2 عشان مش حنحس بهاي الفرحة في الجامعة  فخلينا نعيشها هلأ😂,0,0,0,1,0
3463,2018-Ar-02786,برغم اني ماني متوتر وخايف الكلاسيكو اليوم الى جاني الشعور الارتجاف الحين لاحول ولاقوه الا بالله 💔 💔,0,0,1,0,0
2567,2018-Ar-00693,حاول ان تنزع الكومبيوتر من متوتر منتشي بالتوترات قد تصيبه هستيريا كمن منعت عنه المخدرات,1,0,0,0,0
2767,2018-Ar-00204,يا رب سخر لي أسباب الرضا والسرور ما يجعل القلب من زود السعادة يطير واجعلي بكل ما به خير للناس دور وارزقني الصدق والإخلاص في كل خير ب 📝,0,0,0,1,0
958,2018-Ar-01895,@Mayadalt بالضبط 👌🏻، ويشجع القارئ على البحث أكثر والتّفكُر. \nشكرا لمشاركتگ هذه المقاله🌸,0,0,0,1,0
2107,2018-Ar-02468,واضح انك متوتر وتقول مالا تعي ولذلك مقدر حالتك النفسية,0,0,1,0,0
586,2018-Ar-03582,آه تلو آه ماذا بك سيجمعني حزن آخر شجن حنين إن الحزن لا يحتاج لزينة يكفيه وجه النساء ليكون على ملامحهن نبيا,0,0,0,0,1
941,2018-Ar-04122,أيوجد شعور أعظم وأجمل وأسعد من ارتجاف قلبك حين تذكر الله فتعلم أنه يذكرك ❤️ لا إله إلا الله,0,0,0,1,0
1123,2018-Ar-00598,انا منشكحه انشكاح حلو قدن والله وبفكر اللي التايم 😂 😂 💃 💃,0,0,0,1,0
756,2018-Ar-00037,“الزعيم يحبنا حب القط لفأر مذعور يجرحه يخنقه و يكسر عظمه”,1,1,0,0,1
1776,2018-Ar-03675,استشاطوا غضبا المتصهينين العرب من اجل تجريم حماس اكثر من الصهاينه انفسهم,1,1,0,0,0
434,2018-Ar-02351,ايوه بقا 13 يوم اجازه ياناس — feeling باهموت من الفرحه,0,0,0,1,0
1648,2018-Ar-00053,#ياحمار_مقاطعه_ماهي_حصار مقاطعة أم حصار لا فرق المهم هو موقف ينم عن عداء وضغينة تجاه كيان معين العلة هي الحاسمة وليس الشكل,1,0,0,0,0
1227,2018-Ar-03588,هوا أنا مبسوط بس مش عارف ليه؟ بس المهم إنى مبسوط وخلاص مش لازم أسال يعنى.,0,0,0,1,0
3065,2018-Ar-01928,#ضريبه_السلع_الانتقاييه\nهذي ماهي انتقائية بل انتقامية وظلم وسرقة جيب المواطن الغلبان عياناً بياناً,1,1,0,0,1
1848,2018-Ar-00574,و انا راجعة لقيت الازالة موجودة و بتشيل كل القعدات و الكلام ده و الشارع فضى و حاسة ان الدنيا مش سيبالي اي خرم ابتهاج بجد,0,1,0,1,1
3033,2018-Ar-03770,افيدونا عن سفر السعوديين لتركيا هاذي الايام فيها خطوره ولا الوضع هادي #تركيا,0,0,0,0,0
1758,2018-Ar-03481,اي حلو وانت مرعب العالم حاط السكين على يمينك 😨 😨 الله يكفينا شرك اللي ما يرسل شيء حلو دغدغه بها 😆 😆,1,0,1,0,1
3531,2018-Ar-01816,كنا نحترمهم كعلماء ولكنهم سقطوا شر سقطه الله لاسامحهم,1,0,0,0,1
1125,2018-Ar-02412,لا لكن ما يثير امتعاضي هو خبث و دجل و كذب و نجاسة الصهيوسلفية,1,1,0,0,0
1833,2018-Ar-04303,@reda_reda61015 @Elhoriaelhoria يبقى كدا بتريحة انا عاوزة يموت من الغيظ عشان يتعلم الا يخدع احد,1,1,0,0,0
3255,2018-Ar-03272,انا اذا #زعلت منك يا #ويلك تكلمني ويا ويلك ما #تكلمني دبّّر نفسك عاد.🙄🙌🏻 #جمعه_مشكشكه🙈,1,0,0,1,0
1114,2018-Ar-04178,#ظريف يزور #موسكو الجمعة المقبل ومصدر دبلوماسي روسي يؤكد زيارة وليد #المعلم في اليوم نفسه,0,0,0,0,0
2119,2018-Ar-03412,يوم جرحك سيدي ابكى #السماء وحتى عرش •اللہ̣̥ هالليله #حزين حقها هاآي العين ماتبجي #دموع تبجي والله دموم لجلك #يااعلي,0,0,0,1,1
151,2018-Ar-03169,ميفيد الحكومة جبانة واحد يخاف من الثاني الكل مكشوفين أمام الآخرين بالفساد أخلاقي والاجتماعي,1,0,0,0,0
1537,2018-Ar-01754,هو بيخاف..\nعليها علشان بتشرب بيبسي🍺\n وهي بتخاف..\nعليه عشان بيشرب سجاير🚬\nوانا لو شربت بنزين محدش هيعبرني 😂😂,1,0,0,0,1
2032,2018-Ar-01109,@E0Wh9 معرفش الخارجيه ساكته علي امه ليه المفروض توجيه إنذار ليه وعندما يتكرر طرده وبناقص,1,0,0,0,0
3188,2018-Ar-03237,@KiroMamdou7 ياعم الف مبروك و عقبال متفرح بيه كده و تجوزه بنت الحلال 😂😂😂,0,0,0,1,0
3343,2018-Ar-03478,انا مش عايز توتى يبطل كورة 😢\nكل اللعيبة اللى اتولدت اتفرج عليهم بيعتزلوا كده خلاص,0,0,1,0,1
644,2018-Ar-04316,في ناس كدا مجرد مانكلمهم لو دقيقة بنحس براحة وبنبقي فرحانين حتى لو قلنا ازيكوا وردوا بس ب الله يسلمك 💕,0,0,0,1,0
346,2018-Ar-01839,خالص العزاء لكم ونود ان نرى بكاء ودموع حتى تخدرونا ونشارككم الحزن 🙏 🏻,0,0,0,0,1
396,2018-Ar-04092,فيصل قاسم وقناه الجزيره سبب خراب سوريا ربنا ينتقم منكم,1,1,0,0,1
3103,2018-Ar-03403,ممكن مقدرش ابينلك اني فرحان انك سالت او افتكرتني في انك تعيد عليا بس انا فعلا ببقي فرحان و مبسوط و بفضل فاكركلك الموقف الجميل ده و مش بنساه,0,0,0,1,0
582,2018-Ar-02455,صباحك انا وبكل سرور,0,0,0,1,0
2999,2018-Ar-01138,مش دايما بس الافاتار مبهج اوي بجد,0,0,0,1,0
1395,2018-Ar-03707,دكتور عندي هالأعراض سخونه داخليه بالجسم ارتجاف اليدين والرجلين ثقل بالراس عدم تحمل الجو البارد ضربات قلب سريعه قلق خوف عصبيه إمساك,1,0,1,0,1
3135,2018-Ar-00597,يارب نصر من عندك لقلبي ولعيوني الي تغير حالهم وجهي اللي شبع ذبول انا مو كذا ياربي رجعني الحلوه اللي تملى الحياه حياهه 🙄💛,0,0,1,1,1
3761,2018-Ar-01399,@ali_alsaadi7 @nkm6556 حضرتي مواطن كويتي واقف مع حكومتي شعب حر وحكومه محايده ودولتي الا تقول عنها محايده هي الا ردت علاقتكم مع عمان ؟ 😘,0,0,0,0,0
3704,2018-Ar-04264,لا لا صور الالبوم الله بجد انا سعيده جدا والله I love you so much albii ❤❤,0,0,0,1,0
3491,2018-Ar-01051,#غلا_الاقساط_المدرسية بعدين وين التعليم الرسمي وين الدعم الرسمي للتعليم لي بصير ع صعيد التلميذ مش المدارس لي بيفتحوها دكاكين مجانية,1,1,0,0,0
490,2018-Ar-01682,محبرة النصر بتدوين كلمات دروس بتكتب بخلود رواح محبين محبة للعز بتجذب ارضالمشرق ما بتلين للوحش حتى يهرب بتصدوما بتستكينتتضرب #واشرق_النصر,0,0,0,1,0
3634,2018-Ar-04341,بائس مبتئس بئيس وحداني كدا,1,1,0,0,1
909,2018-Ar-02622,مو معناه ماعندي هدف ولكن كل مافي الأمر يكون عندي خيار مسبق وتجي عالأخير هذيك الأفكار الوسواسية: ترى يمكن وأحسن وفيه...ألخ. تشوش صفو اختياري.,0,0,0,0,1
3208,2018-Ar-04052,الجزء التاني من #الزيبق من اكتر الاشياء يلي متحمسه الها 😃,0,0,0,1,0
